País,Categoría,Nombre,Og_Resumida
Países Bajos,Fondos,International Art Presentation,Destinado a artistas profesionalmente activos e inmersos en las artes visuales que trabajan en los Países Bajos y quieren presentar su obra en otro país; y organizaciones artísticas reconocidas internacionalmente fuera de los Países Bajos que quieren presentar obras contemporáneas de artistas vivos en los Países Bajos. Se ofrecen gastos de viaje ida y vuelta para los artistas y/o curadores para un viaje de producción y un viaje para la inauguración; hasta 1.000 euros por persona para los artistas participantes y/o curadores; gastos de transporte y seguro durante el transporte de la obra; hasta el 50% de los costos de producción de obras nuevas; hasta el 25% de los costos de publicación; hasta un 50% del costo de traducción del subtitulado de una película. 
EEUU,Fondos,Cultural Emergency Response Programme,"La oportunidad “First Aid to Cultural Heritage” del programa Cultural Emergency Response (CER) está dirigida a profesionales y practicantes del patrimonio y la cultura residentes y activos en países elegibles de África, Asia, América Latina, el Caribe y Europa Oriental (incluyendo países latinoamericanos), que enfrenten emergencias derivadas de desastres o conflictos que amenacen el patrimonio cultural. No se requiere pago de inscripción para participar. La convocatoria abarca disciplinas vinculadas al patrimonio cultural tangible e intangible (como sitios, colecciones, edificios, archivos y prácticas culturales) y está orientada a la protección, rescate, estabilización o evacuación de bienes culturales en riesgo. Los solicitantes pueden pedir financiamiento de emergencia de manera flexible y rápida, debiendo indicar el monto requerido según las necesidades de su proyecto; el apoyo financiero se determina caso por caso y no se especifica un monto fijo en la convocatoria."
Arabia Saudita,Premio,Launch of Ithra Art Prize’s seventh edition,"El Centro Rey Abdul Aziz para la Cultura Mundial (Ithra) anuncia la convocatoria para la séptima edición del Premio de Arte Ithra, una beca bienal que apoya el arte contemporáneo en el mundo árabe. Fundado en 2017, el Premio ofrece una valiosa plataforma para los artistas de la región. Con un gran premio de 100.000 dólares estadounidenses, la obra ganadora encontrará un lugar permanente en la colección de arte permanente de Ithra. En una importante expansión con respecto a años anteriores, el Premio de Arte Ithra, a través de su jurado designado, reconocerá a cinco finalistas con becas de producción para exhibir su trabajo en una exposición en Ithra en la primavera de 2026. La exposición será un nuevo punto culminante del premio, que regresa a su sede en la Provincia Oriental, contribuye al legado en evolución de los artistas y busca amplificar el discurso sobre el arte contemporáneo en la región. El ganador final se seleccionará durante la exposición. El plazo de presentación de candidaturas ya está oficialmente abierto y se aceptarán hasta el 16 de octubre de 2025. Como parte de su enfoque evolutivo, se aceptan tanto encargos nuevos como obras existentes recontextualizadas. El Premio reconoce a artistas cuyas prácticas son intelectualmente comprometidas, se fundamentan en el contexto y se desarrollan a través de una indagación sostenida a lo largo del tiempo. Las obras presentadas deben reflejar la práctica e investigación continuas de los artistas. El Premio está abierto a artistas individuales y colectivos mayores de 18 años, de ascendencia árabe o residentes en uno de los 22 países árabes.



"
México,Convocatoria,XIII Encuentro Nacional de Investigadores del Ferrocarril,"Dirigida a especialistas, investigadores, estudiantes, profesionales del sector ferroviario, responsables de políticas públicas y miembros de comunidades ferroviarias interesados en la historia, patrimonio, innovación tecnológica, medio ambiente, urbanismo y aspectos sociales relacionados con el ferrocarril; no requiere pago de inscripción para participar; la convocatoria contempla disciplinas vinculadas principalmente a la investigación histórica, tecnológica, patrimonial y social del sector ferroviario, sin enfoque en disciplinas artísticas tradicionales; no se menciona ningún monto de dinero estipulado como premio, beca, honorario ni apoyo económico para participantes seleccionados; la oportunidad está abierta a personas interesadas, sin restricciones explícitas de nacionalidad, pero orientada principalmente al contexto mexicano."
México,Convocatoria,Convocatoria XXII Muestra Nacional de Dramaturgia,"La presente convocatoria tiene por objetivo fomentar la creación de obras dramáticas y potenciar la visibilización de la dramaturgia nacional, a través de la selección de cinco (5) obras dramáticas, tres (3) en la Categoría Autor Emergente y dos (2) en la Categoría Autor de Trayectoria, las cuales serán montadas y estrenadas en la versión XXII de la Muestra Nacional de Dramaturgia 2025.
El presente concurso contempla las siguientes modalidades:
Categoría Autor Emergente
Consideraremos autor emergente a quien no cuente con obras de su autoría estrenadas o que cuente con un máximo de tres (3) estrenos profesionales, presenciales y/o virtuales, a la fecha de postulación.
Premio único de $3.000.000. – para cada texto selecionado.
Categoría Autor de Trayectoria
Consideraremos autor de trayectoria, a quien cuente con un mínimo de cuatro (4) estrenos profesionales, presenciales y/o virtuales, a la fecha de postulación.
Premio único de $5.000.000.- para cada texto seleccionado.
"
México,Convocatoria,Convocatoria XI Encuentros Coreográficos Nacionales,"La presente convocatoria tiene por objetivo promover, visibilizar y reconocer la creación coreográfica nacional, a través de la selección de cinco (5) proyectos de obras coreográficas inéditas presentadas por coreógrafos y/o coreógrafas, los cuales serán premiados con un monto único de $4.000.000.- cada uno. Los proyectos de creación presentados pueden contemplar de 1 a 3 coreógrafos y/o coreógrafas como número máximo de integrantes. El programa tiene los siguientes objetivos específicos: Contribuir a la creación y desarrollo de nuevas obras coreográficas nacionales.
Fomentar la experimentación de nuevos lenguajes y procedimientos coreográficos.
Visibilizar y poner en valor la creación coreográfica.

"
España,Convocatoria,"dFERIA, Feria de las Artes Escénicas de Donostia-San Sebastián 2025","La oportunidad dFERIA, Feria de las Artes Escénicas de Donostia-San Sebastián 2025, está dirigida a compañías, profesionales y creadores de las artes escénicas que deseen presentar sus espectáculos en la programación oficial del evento; pueden participar propuestas de teatro, danza, circo y artes vivas, tanto para público adulto como infantil. No se menciona en la información pública la existencia de un pago de inscripción para postularse, ni se especifican montos de cachet o compensación económica para los artistas seleccionados; la feria actúa principalmente como una plataforma de visibilidad y networking profesional. La convocatoria está abierta a propuestas nacionales e internacionales, por lo que artistas de Latinoamérica pueden postular, siempre que cumplan con los requisitos técnicos y de producción establecidos en las bases. No se detallan premios en efectivo ni apoyos económicos específicos para los participantes."
EEUU,Convocatoria,Miami Film Festival MIFF abre su convocatoria a realizadores,"Dirigida a cineastas debutantes, emergentes y veteranos con obras recientes del ámbito iberoamericano, el Miami Film Festival MIFF acepta largometrajes, documentales y cortometrajes de todos los géneros; la oportunidad está abierta a creadores de Latinoamérica. La inscripción se realiza a través de FilmFreeway y requiere el pago de una tarifa (el monto exacto no se especifica en la fuente consultada). El festival otorga premios en efectivo a los ganadores en diversas categorías competitivas, aunque no se detallan los montos específicos destinados a los artistas seleccionados o premiados."
Noruega,Convocatoria,Open Call: Sustainable Composing and Creative Sound Practices - Course for Composers and Sound Artists,"¿Eres compositor o artista sonoro y te interesa explorar cómo la ecología y el medio ambiente pueden impulsar tu práctica creativa? Ultima te invita a un curso de tres días en Oslo, del 10 al 12 de septiembre, centrado en prácticas sonoras basadas en perspectivas sostenibles y con conciencia ambiental. Existe una cuota de participación: 1000 NOK por el curso completo.
La cuota incluye la cena del miércoles, el almuerzo de cada día y la entrada a eventos seleccionados del Festival Ultima los días 11 y 12 de septiembre. Los participantes tendrán la oportunidad de escuchar, reflexionar y explorar diferentes enfoques sobre cómo la música y el sonido pueden ayudar a fomentar las conexiones entre las personas y su entorno. A través de charlas, talleres, conversaciones, instalaciones, encuentros sociales y un paseo por el bosque de Østmarka, exploraremos cómo el arte sonoro y la composición pueden contribuir a la conciencia ecológica e inspirar prácticas basadas en el cuidado, la responsabilidad y la colaboración.
"
EEUU,Premio,Lucie Foundation ofrece subvenciones y premios para fotógrafos,"La oportunidad de la Lucie Foundation está dirigida a fotógrafos profesionales y emergentes mayores de 18 años de cualquier parte del mundo, incluyendo Latinoamérica, que trabajen en fotografía artística o fotoperiodismo/documental; requiere el pago de una tasa de inscripción de $25 USD por propuesta en la categoría profesional y $15 USD en la categoría emergente; otorga cuatro subvenciones en efectivo: $3,000 USD para los ganadores profesionales y $1,000 USD para los emergentes, además de un vale de $500 USD para servicios de Picto NYC para cada seleccionado y, en el caso del ganador emergente en fotoperiodismo/documental, una cámara Sony A7M4 con lente profesional; los proyectos seleccionados formarán parte de una exposición colectiva en Nueva York y otras sedes internacionales."
Internacional,Convocatoria,DUO LUMA_CALL FOR SCORES,"El Dúo LUMA, compuesto por la guitarrista Silvia Kopáčová y la acordeonista Maria Schlenker, ambas altamente especializadas en interpretación de música contemporánea, se complace en anunciar su primera Convocatoria de Partituras, buscando composiciones innovadoras que exploren las singulares posibilidades sonoras de la combinación de guitarra y acordeón. Con el objetivo de ampliar el repertorio contemporáneo para esta distintiva instrumentación y promover voces compositivas emergentes, invitamos a compositores de todo el mundo a presentar obras originales, así como a iniciar un proceso colaborativo que trascienda los límites tradicionales de la música de cámara. La convocatoria se extiende internacionalmente a todos los compositores, independientemente de su edad, nacionalidad, origen étnico o género. Las obras pueden ser tanto puramente acústicas como incluir medios fijos y electrónica en vivo. También se aceptan propuestas de colaboración. Las obras seleccionadas se interpretarán al menos dos veces durante el ciclo de conciertos 2025/26 de Ensemblekollektiv Connect, del cual el Dúo LUMA es miembro fundador. Los compositores de las obras seleccionadas recibirán una beca de viaje para asistir al ensayo y al menos a uno de los conciertos.

"
Internacional,Convocatoria,DUO VOCE_CALL FOR SCORES,"Duo Voce, compuesto por la cantante Christina Bernhardt y el violonchelista Daniel Gutiérrez, ambos altamente especializados en interpretación de música contemporánea, se complace en anunciar su primera Convocatoria de Partituras, buscando composiciones innovadoras que exploren las singulares posibilidades sonoras de la combinación de voz y violonchelo. Con el objetivo de ampliar el repertorio contemporáneo para esta distintiva instrumentación y promover voces compositivas emergentes, invitamos a compositores de todo el mundo a presentar obras originales, así como a iniciar un proceso colaborativo que expanda los límites de la música de cámara. Las obras pueden ser tanto puramente acústicas como incluir medios fijos y electrónica en vivo. También se aceptan propuestas de colaboración.
Se pueden presentar hasta tres obras. Las obras presentadas no deben exceder los 10 minutos de duración. Las obras seleccionadas se interpretarán al menos dos veces durante el ciclo de conciertos 2025/26 de Ensemblekollektiv Connect, del cual Duo Voce es miembro fundador. Los compositores de las obras seleccionadas recibirán una beca de viaje para asistir al ensayo y al menos a uno de los conciertos.

"
Italia,Residencia,Music Efforts for Green Activism: 2025 Artistic-Professional Residency for Sound Artists (Italy),"Dirigida a artistas sonoros y profesionales del sonido de cualquier nacionalidad, incluyendo latinoamericanos, la residencia Music Efforts for Green Activism: 2025 Artistic-Professional Residency for Sound Artists (Italy) busca proyectos que vinculen arte sonoro y activismo medioambiental, con énfasis en la creación colaborativa y el impacto ecológico. No se requiere pago de inscripción para participar. La residencia ofrece un estipendio total de 2.000 EUR para cada artista seleccionado, cubriendo gastos de viaje, alojamiento y producción, además de acceso a instalaciones especializadas y apoyo profesional durante la estancia."
Croacia,Convocatoria,"FAKI Festival: Artists, Activists, Researchers and Theatre Critics for 2026 Edition (Croatia)","Convocatoria dirigida a artistas, activistas, investigadores y críticos de teatro de cualquier nacionalidad interesados en la expresión teatral alternativa y la experimentación escénica, sin restricción geográfica, incluyendo Latinoamérica. No se requiere pago de inscripción para participar. Las disciplinas involucradas abarcan artes escénicas, performance, teatro experimental y prácticas performativas afines. La edición 2026 del FAKI Festival, que se celebrará en Zagreb del 25 al 31 de mayo de 2026, no ofrece honorarios a los artistas seleccionados debido a limitaciones presupuestarias, pero cubre alojamiento compartido, comidas veganas y apoyo técnico básico; además, se prevé la cobertura de gastos de viaje hasta 200 EUR por persona y hasta 500 EUR por grupo, priorizando medios de transporte sostenibles."
Croacia,Residencia,SubScena: Residency and Presentation for Performance Artists 2026 (Croatia),"SubScena: Residency and Presentation for Performance Artists 2026 (Croacia) está dirigida a artistas y colectivos de performance que trabajen en prácticas experimentales y vanguardistas dentro del teatro, la danza, el circo y estilos híbridos, sin restricciones de nacionalidad, edad (18-60 años) ni localización, por lo que pueden postular artistas latinoamericanos. No se menciona ningún pago de inscripción para participar. Los artistas seleccionados reciben alojamiento, apoyo técnico (diseño de luces y sonido, asistencia técnica y de producción), promoción, espacios de ensayo y presentación, y reembolso de gastos de viaje hasta 200 EUR por artista o 500 EUR por grupo, pero no se especifica un estipendio adicional; la convocatoria es de carácter no lucrativo y busca fomentar la colaboración independiente y la experimentación escénica."
Estonia,Residencia,Narva Art Residency: Finno-Ugric Creative Residency 2025 (Estonia),"Dirigida a artistas y creativos internacionales de diversas disciplinas (artes visuales, música, teatro y performance) interesados en desarrollar un proyecto contemporáneo que explore y presente la cultura fino-ugria durante una residencia en Narva, Estonia, del 16 de octubre al 8 de diciembre de 2025; la convocatoria no exige pago de inscripción, ofrece alojamiento y espacio de trabajo sin costo, un estipendio creativo de 800 €, 700 € para producción y 200 € para gastos de viaje; la postulación está abierta a participantes de cualquier nacionalidad, por lo que artistas de Latinoamérica pueden aplicar."
France,Residencia,ACEA-Marnay Artist Residency,"ACEA-Marnay Artist Residency está dirigida a artistas emergentes y consolidados de todas las disciplinas artísticas, sin restricciones de nacionalidad, incluyendo postulantes de Latinoamérica; ofrece residencias de 1 a 2 meses en Marnay Sur Seine, Francia, para desarrollar proyectos en un entorno rural enfocado en el intercambio intercultural y la conexión con la comunidad local. La convocatoria está abierta para residencias entre septiembre y noviembre de 2025, con un máximo de tres artistas por periodo. No se especifica un monto de apoyo económico directo ni estipendio para los seleccionados."
Greece,Residencia,GREECE 2026 OPEN CALL: AEGEAN FUTURES – ECHOES FROM THE PELAGO,"Dirigida a artistas internacionales de cualquier etapa de carrera que deseen participar en una residencia de tres semanas en la ciudad de Kavala, Grecia, bajo la convocatoria 2025 WORLDWIDE OPEN CALL ""Cities by the sea / Re-imagine the Mediterranean""; la oportunidad está abierta a todas las disciplinas artísticas, aunque no se especifican restricciones, y se requiere el pago de una cuota de residencia (cuya cifra exacta no se publica en la web, pero es obligatoria y cubre alojamiento, espacio de trabajo, espacio expositivo y evento curado), además de un depósito para confirmar la participación; no se menciona un pago o estipendio para los artistas seleccionados y tampoco premios monetarios; pueden postular artistas de cualquier país, incluyendo Latinoamérica, y la organización ofrece cartas de invitación para facilitar solicitudes de financiamiento externo; no se indica un costo de inscripción adicional fuera del pago de la residencia, aunque es imprescindible consultar el formulario de aplicación para detalles sobre los distintos planes y montos exactos."
United Kingdom,Residencia,"Group Residency Programme, Orkney: Air, Sea and Soil: SOUNDINGS and SURROUNDINGS","Dirigida a artistas y profesionales creativos de todas las disciplinas y nacionalidades, incluidos latinoamericanos, interesados en investigar las relaciones entre espacio, sonido y visualidad en el entorno natural de las Islas Orcadas; la residencia grupal Group Residency Programme, Orkney: Air, Sea and Soil: SOUNDINGS and SURROUNDINGS se realizará del 30 de agosto al 6 de septiembre de 2025, con un cupo aproximado de diez participantes seleccionados. La postulación requiere el pago de una cuota de £1500 GBP que cubre el programa, alojamiento en habitaciones privadas con baño, estudio, traslados locales y pensión completa; no se otorgan estipendios ni apoyo económico para participantes, quienes deben gestionar financiamiento propio para cubrir la cuota, el viaje y otros gastos. No existe restricción geográfica para postular, pero no se ofrece financiamiento ni becas para artistas seleccionados."
Spain,Residencia,CRUCE – Space for Transformation,"CRUCE – Space for Transformation está dirigido a artistas y creadores de todas las disciplinas contemporáneas, incluyendo artes visuales, performance, sonido, prácticas sociales e interdisciplina, interesados en explorar la relación entre cuerpo, territorio y espacialidad. No se especifica restricción geográfica, por lo que pueden postular artistas de cualquier nacionalidad, incluyendo latinoamericanos. No se encuentra información sobre la existencia de un pago de inscripción obligatorio para participar, ni se detallan montos de apoyo económico, honorarios o presupuesto de producción asignados a los seleccionados; la página oficial y las bases disponibles no mencionan financiación directa para los artistas."
Global,Residencia,Mycophilia online mushroom school,"Mycophilia online mushroom school es una residencia virtual dirigida a artistas, escritores, músicos, performers y creativos de cualquier país interesados en explorar la relación entre arte y hongos a través de talleres, charlas y colaboraciones interdisciplinarias. No se requiere el pago de inscripción y la oportunidad está abierta a participantes de todo el mundo, incluida Latinoamérica. No se otorga un estipendio económico ni premio monetario a los seleccionados; la residencia se enfoca en el aprendizaje, la experimentación artística y el trabajo colaborativo en línea. Las disciplinas involucradas abarcan artes visuales, escritura, música, performance y prácticas interdisciplinarias."
Brasil,Convocatoria,Conferencia Res Artis 2025 - Other Springs: Blooms from the Global South,"Se abre la inscripción general para participar en la conferencia internacional de residencias artísticas 'Other Springs: Blooms from the Global South', organizada por Res Artis y FAAP en São Paulo, Brasil. El evento reunirá a artistas, gestores y expertos para dialogar sobre el impacto de la presencia indígena y africana en el arte, con actividades presenciales y virtuales durante seis días. Es una oportunidad única de intercambio y reflexión sobre residencias artísticas desde la perspectiva del Sur Global."
Países Bajos,Residencia,Rijksmuseum Artist in Residence 2026,"El Rijksmuseum de Ámsterdam invita a un/a artista a participar en su residencia anual de 2026. La persona seleccionada tendrá acceso a las colecciones, archivos y laboratorios del museo para desarrollar una nueva obra inspirada en la historia o colecciones del Rijksmuseum. La residencia está dirigida a artistas de trayectoria media, con práctica basada en la investigación y experiencia en instituciones públicas, que hayan vivido o trabajado en los Países Bajos al menos dos años."
Argentina,Convocatoria,Ecosistema de Afectos – PROGRAMA DE FORMACIÓN 2025,Programa de formación para artistas emergentes. Postulación por email (PDF único) a ecosistemadeafectos@gmail.com. Cierre: 2025-08-23. Aranceles: $ 120000/mes (5 cuotas sep–ene). Pago único $ 500000. Organiza: Ecosistema de Afectos (Argentina).
Argentina,Convocatoria,Concurso Provincial de obras para Orquesta Sinfónica Marta Lambertini,"La tercera edición de este concurso está dirigida exclusivamente a mujeres e integrantes del colectivo LGTBIQ+ mayores de 18 años que hayan nacido, residan, trabajen o estudien en la provincia de Buenos Aires. La inscripción es gratuita y no requiere ningún pago para participar. La disciplina involucrada es la composición de obras originales para orquesta sinfónica completa, excluyéndose obras para conjuntos de cámara. Se seleccionarán tres obras ganadoras que serán interpretadas por los cuerpos estables provinciales en 2026, pero no se menciona la entrega de un premio monetario. La convocatoria no está abierta a artistas de Latinoamérica fuera de la provincia de Buenos Aires."
Argentina,Convocatoria,Cuarta edición del concurso de narrativas 'Ser Bonaerense',"La convocatoria está dirigida a todas las personas bonaerenses, sin límite de edad ni necesidad de experiencia previa, y busca ensayos que reflexionen sobre la identidad bonaerense en sus dimensiones pasadas, presentes y futuras; la inscripción es completamente gratuita, solo pueden participar quienes residan en la provincia, la disciplina artística involucrada es exclusivamente el ensayo, no se menciona ningún monto de premio en efectivo para los seleccionados o ganadores, y la oportunidad no está abierta a artistas de Latinoamérica fuera de la provincia."
Argentina,Convocatoria,Buenos Aires Music Video Festival (BAMV Fest) - Convocatoria Internacional de Videoclips,"La convocatoria está dirigida a directores, productores, artistas, bandas, discográficas y profesionales vinculados a la producción de videoclips, tanto nacionales como internacionales, que hayan estrenado su obra entre el 1 de agosto de 2023 y el 31 de agosto de 2024. Para participar se requiere abonar un arancel de inscripción, aunque existen códigos promocionales que ofrecen descuentos; no se menciona la existencia de premios en efectivo para los ganadores. Las disciplinas involucradas son principalmente videoclips musicales, abarcando numerosas categorías técnicas y artísticas. La oportunidad está abierta a participantes de Latinoamérica, con categorías específicas para la región."
Argentina,Convocatoria,4° Hurlingham Film Lab,"La oportunidad está dirigida a cineastas y personas interesadas en las artes visuales que cuenten con proyectos en desarrollo, ofreciéndoles la posibilidad de participar en un laboratorio donde recibirán capacitaciones y asesorías personalizadas de profesionales de la industria audiovisual. No requiere pago de inscripción para ser considerada. La disciplina principal involucrada es el cine y las artes visuales. No se estipula un monto de dinero como premio para los seleccionados, sino que el beneficio consiste en el acceso a formación y asesoría profesional. No se especifica que esté abierta explícitamente a artistas de Latinoamérica."
México,Beca,Beca Cobertizo Residencia de artistas,"La Beca Cobertizo está dirigida exclusivamente a artistas de México y Latinoamérica interesados en realizar una residencia artística de 3 semanas. No requiere pago de inscripción y ofrece hospedaje, transporte y alimentación a los 6 artistas seleccionados para que se concentren en la producción y desarrollo de sus proyectos. La residencia incluye acompañamiento de curadores reconocidos y la obligación de donar una pieza como retribución, la cual será utilizada para recaudar fondos y continuar subsidiando futuras residencias. No se otorga un monto en efectivo a los artistas seleccionados."
Italia,Premio,ARTE LAGUNA PRIZE 2025 PREMIO INTERNACIONAL PARA ARTISTAS CONTEMPORANEOS,"Dirigida a artistas contemporáneos de cualquier nacionalidad y edad, incluyendo latinoamericanos, interesados en participar en disciplinas como pintura, escultura, fotografía, arte digital, gráfica digital, videoarte, land art, urban art, performance y diseño. La inscripción requiere el pago de una cuota de €97,60 para menores de 35 años y €122 para mayores de 35 años, permitiendo presentar hasta cinco obras (cada obra adicional cuesta €24,40); la cuota no es reembolsable. El premio principal para el/la artista ganador/a es de €10.000 en efectivo, además de oportunidades de exposición internacional en el Arsenale Nord de Venecia y acceso a premios especiales (colaboraciones, residencias y visibilidad). La convocatoria está abierta hasta el 10 de septiembre de 2025, y no existen restricciones geográficas para aplicar."
España,Premio,I Certamen de Pintura y Escultura Alfonso Aramburu Terrades,"Dirigido a artistas menores de 35 años nacidos o residentes en Andalucía, el I Certamen de Pintura y Escultura Alfonso Aramburu Terrades premia con 10.000 euros a la mejor obra de pintura y 10.000 euros a la mejor obra de escultura; la inscripción está abierta del 23 de julio al 30 de noviembre de 2025 y no se menciona ningún pago de inscripción, pero la participación está limitada a quienes cumplan los requisitos de edad y residencia, por lo que no está abierto a artistas de Latinoamérica salvo que residan en Andalucía."
España,Premio,III Premio Internacional de Pintura Francisco Pedraja Muñoz,"Convocatoria dirigida a artistas de cualquier nacionalidad o lugar de residencia, sin restricciones geográficas, que podrán participar individualmente o en colectivo con una única obra original e inédita de pintura, con temática y técnica libres; no se requiere pago de inscripción para participar. El III Premio Internacional de Pintura Francisco Pedraja Muñoz otorga un primer premio de 4.000 euros, un segundo de 2.000 euros y un tercero de 1.000 euros; las obras finalistas formarán parte de una exposición y catálogo oficial. La convocatoria está abierta a artistas de Latinoamérica y el plazo de inscripción finaliza el 9 de noviembre de 2025."
Reino Unido,Beca,Becas de investigación en historia de la escultura de la Fundación Henry Moore en Reino Unido,"Las Becas de investigación en historia de la escultura de la Fundación Henry Moore en Reino Unido están dirigidas a investigadores, historiadores del arte y profesionales de la escultura interesados en desarrollar proyectos de investigación vinculados a la historia de la escultura, sin restricción de nacionalidad, lo que incluye postulantes de Latinoamérica; no se requiere pago de inscripción para participar, según la información disponible. La convocatoria contempla proyectos individuales, priorizando investigaciones originales y de alta relevancia académica. El monto destinado a cada becario seleccionado varía según la propuesta, pero suele incluir una asignación económica suficiente para cubrir los gastos de investigación, viaje y estadía en el Reino Unido, aunque el detalle exacto del estipendio debe consultarse en las bases específicas de la Fundación Henry Moore, ya que no figura un monto fijo en la información pública argentina. La oportunidad no está dirigida exclusivamente a artistas, sino a investigadores y especialistas en historia del arte o disciplinas afines, y no especifica disciplinas artísticas más allá del enfoque en escultura."
España,Beca,Becas para estudios de mediación cultural de Fundación Daniel & Nina Carasso en España,"Dirigida a estudiantes de cualquier nacionalidad interesados en cursar estudios de posgrado (excepto doctorado) en mediación cultural en universidades o centros de estudios en España durante el período 2025-2026; no requiere ningún pago para participar en la convocatoria. Las disciplinas involucradas son principalmente la mediación cultural, situada en la intersección entre arte, educación, participación y acción social. Se otorgan 14 becas de 2.200 euros cada una, incluyendo acompañamiento y mentorías; la oportunidad está abierta a postulantes latinoamericanos siempre que residan en España durante el período de estudios."
Francia,Beca,Becas para residencias de investigación de la Fundación Camargo en Francia,"Becas para residencias de investigación de la Fundación Camargo en Francia está dirigida a artistas, investigadores y pensadores de cualquier nacionalidad y disciplina, incluyendo artes visuales, música, escritura, humanidades y ciencias sociales, con proyectos de investigación o creación que puedan beneficiarse del entorno interdisciplinario de la residencia; no se requiere pago de inscripción para participar; la beca cubre alojamiento, espacio de trabajo y un estipendio de 350 euros semanales durante la estadía de 8 semanas, además de cubrir el viaje de ida y vuelta; la convocatoria está abierta a postulantes de América Latina; toda la información sobre requisitos, disciplinas involucradas y montos está detallada en las bases oficiales disponibles en el sitio de la convocatoria."
México,Beca,Becas de Excelencia del Gobierno de México,"Las Becas de Excelencia del Gobierno de México están dirigidas a ciudadanos extranjeros, incluyendo argentinos y otros latinoamericanos, que deseen realizar estudios de especialidad, maestría, doctorado, investigaciones de posgrado o movilidad estudiantil en instituciones mexicanas de educación superior; la convocatoria es amplia y no limita disciplinas, por lo que artistas de diversas áreas pueden postular. No se requiere pago de inscripción para participar. La beca cubre matrícula completa, manutención mensual (aproximadamente 11.700 pesos mexicanos o 650 dólares), seguro médico, transporte internacional y una asignación inicial para instalación. La convocatoria está abierta a postulantes de más de 170 países, incluyendo toda Latinoamérica. No se mencionan montos adicionales específicos para disciplinas artísticas ni limitaciones para artistas, pero sí se aclara que los beneficios económicos son uniformes para todos los seleccionados, independientemente del área."
Chile,Convocatoria,Sala de Arte CCU 2026 – Exposición Presencial para Artistas Chilenos,"La oportunidad Sala de Arte CCU 2026 – Exposición Presencial para Artistas Chilenos está dirigida exclusivamente a artistas visuales chilenos y colectivos compuestos íntegramente por chilenos, sin contemplar la participación de artistas latinoamericanos no residentes en Chile. No requiere pago de inscripción para postular. La convocatoria abarca todas las disciplinas de las artes visuales con temática libre, priorizando proyectos innovadores que incluyan estrategias de mediación y actividades para públicos diversos. Se seleccionará un único ganador para exponer presencialmente en la Sala de Arte CCU durante mayo y junio de 2026; no se especifica en las bases públicas el monto de dinero destinado al artista seleccionado ni se menciona estipendio, honorario o presupuesto de producción asociado a la exhibición."
Colombia,Convocatoria,CANTERA,"CANTERA está dirigida a artistas visuales de cualquier nacionalidad, con énfasis en quienes residen en Latinoamérica, interesados en desarrollar procesos artísticos en Bogotá, Colombia, durante un periodo de residencia presencial de dos meses en Taller Topo. La convocatoria está abierta a propuestas de artes visuales contemporáneas sin restricción de técnica ni temática. No se requiere pago de inscripción para participar, y los artistas seleccionados recibirán un apoyo económico de $2.000.000 COP para manutención durante la residencia; no se especifican otros montos ni presupuestos de producción adicionales en la información disponible."
México,Convocatoria,Nuevo Grito - Exposición de Arte sobre Mexicanidad Contemporánea ,"Convocatoria dirigida a artistas visuales de cualquier nacionalidad, con énfasis en quienes exploren temas actuales de identidad mexicana; se aceptan propuestas de pintura, escultura, fotografía, gráfica, instalación, arte digital y técnicas mixtas para exhibirse en The Hub, Querétaro, en septiembre de 2025. No se menciona ningún pago de inscripción para participar ni estipendio, premio económico o apoyo financiero para los artistas seleccionados; tampoco se indica restricción geográfica, por lo que está abierta a artistas de Latinoamérica. Falta información sobre montos destinados a los artistas y sobre posibles pagos de inscripción, ya que las bases detalladas no están disponibles en la convocatoria consultada."
EEUU,Convocatoria,Screamfest® Horror Film Festival,"Screamfest® Horror Film Festival está dirigido a cineastas de cualquier nacionalidad interesados en el género de terror, fantasía, thriller y ciencia ficción, incluyendo cortometrajes, largometrajes, animación y documentales. La inscripción requiere el pago de una tasa, cuyo monto exacto varía según la categoría y fecha de envío (por ejemplo, para cortometrajes y largometrajes la tarifa estándar suele oscilar entre 55 y 75 USD, incrementándose en los plazos tardíos). No se especifica un monto de premio en efectivo para los artistas seleccionados o ganadores, aunque se otorgan trofeos y reconocimientos a diversas categorías técnicas y artísticas. La convocatoria está abierta a participantes internacionales, por lo que cineastas de Latinoamérica pueden postular sin restricciones geográficas."
España,Convocatoria,Cortogenia International short film festival,"El Cortogenia International short film festival está dirigido a cineastas de cortometrajes de cualquier nacionalidad y temática, aceptando obras de ficción, animación y documental. La inscripción requiere el pago de una tarifa, cuyo monto varía según la fecha de envío y la categoría, y está abierta para creadores de América Latina. Los cortometrajes seleccionados compiten por premios económicos, destacándose un premio principal de 11.000 € para el mejor cortometraje, aunque pueden existir otras categorías y premios menores. La convocatoria especifica que pueden participar cortometrajes realizados en cualquier país, siempre que cumplan con los requisitos técnicos y de duración establecidos en las bases."
