Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Monto_Extraido_LLM,Moneda_Extraida_LLM
Convocatoria︱Programa Prácticas UNESCO,"Micelio <35, Convocatoria de Arte Participativo (https://www.notion.so/Micelio-35-Convocatoria-de-Arte-Participativo-23d9dd874b3a81e6bcb2c34ff8d0cb9b?pvs=21)",Programa de Prácticas de la UNESCO: Sector de Cultura UNESCO,Revisar,https://careers.unesco.org/job/Multiple-INTERNSHIP-Culture-Sector/764957702/,Estados Unidos,"December 31, 2025",Yes,UNESCO,,,No,"Pasantía en oficina “Cultural Sector” de la UNESCO, con una duración de entre 1 y 6 meses, destinada a candidatos de al menos 20 años, matriculados o recién graduados en un programa de postgrado (máster, doctorado o equivalente, segundo título universitario o superior). Los candidatos deberán tener excelente dominio del inglés o del francés, excelentes conocimientos informáticos, capacidad de trabajar en equipo y adaptarse a un entorno de trabajo internacional. Abierta a gestores e investigadores latinoamericanos",,,Oportunidad,"Otras, Multidisciplinar, Investigación","August 10, 2025 1:42 AM",,,No,No,,No,,,,
Beca︱Doctorado Alemania,IX Congreso Internacional de Teatro CON/TEXTO tipea “Intervenciones” (https://www.notion.so/IX-Congreso-Internacional-de-Teatro-CON-TEXTO-tipea-Intervenciones-23d9dd874b3a81978f53d5370617ebe0?pvs=21),Financiación de doctorado para extranjeros,Revisar,https://www.fes.de/studienfoerderung/stipendienprogramme/promotionsfoerderung-fuer-auslaender-innen,Alemania,,Yes,FES,,,No,"Destinado a estudiantes internacionales de doctorado de una universidad alemana, con muy buenos conocimientos del idioma alemán. Deben venir del extranjero, ser admitidos para un doctorado en una universidad alemana, estar comprometidos sociopolíticamente, identificarse con los valores de la socialdemocracia, haber completado sus estudios con resultados superiores al promedio. Se ofrecen 1.400 euros al mes y una subvención para el seguro médico obligatorio. La convocatoria se encuentra abierta. ",,,Beca,"Otras, Multidisciplinar","August 10, 2025 1:42 AM",,,No,No,,No,,,,
Convocatoria︱Programa de Sombra Teatro,Programa de Apoyo a las Orquestas Profesionales Doctas y Populares 2026 (https://www.notion.so/Programa-de-Apoyo-a-las-Orquestas-Profesionales-Doctas-y-Populares-2026-23d9dd874b3a81f3ae9fcbf3fe3c87cf?pvs=21),Shadowing Programme for Young Theatre Professionals from Abroad Goethe Institut,Revisar,https://MOVILIDAD,Alemania,,Yes,Goethe Institut,,,No,"La oportunidad Shadowing Programme for Young Theatre Professionals from Abroad Goethe Institut está dirigida a jóvenes profesionales del teatro de cualquier nacionalidad, incluyendo artistas de Latinoamérica. La convocatoria abarca disciplinas teatrales como dirección, dramaturgia, escenografía y técnica teatral, y tiene como objetivo ofrecer una experiencia de aprendizaje y acompañamiento en instituciones teatrales alemanas durante un periodo determinado. No se requiere el pago de inscripción para participar en la convocatoria. Los seleccionados reciben una beca que cubre gastos de viaje, alojamiento y manutención, con un estipendio mensual cuya suma exacta varía según la ciudad y duración, pero suele rondar los 1.500 euros mensuales. La oportunidad está abierta a postulantes de todo el mundo que acrediten experiencia profesional relevante en teatro.",,https://www.goethe.de/ins/ae/en/kul/cha.html,Beca,"Escénicas, Teatro, Danza","August 10, 2025 1:43 AM",,,No,No,,No,,,,
Fondos︱Exhibición y conocimiento,Programa de Apoyo para la Participación en Mercados Internacionales – IDFA (https://www.notion.so/Programa-de-Apoyo-para-la-Participaci-n-en-Mercados-Internacionales-IDFA-23d9dd874b3a81f9a35dcedb6d262122?pvs=21),Exhibition and knowledge exchange,Revisar,https://prohelvetia.ch/en/find-support/exhibition-and-knowledge-exchange-2/,Suiza,,Yes,Pro Helvetia,,,No,"Destinado a instituciones de diseño reconocidas y festivales establecidos, semanas de diseño, etc., fuera de Suiza. Se ofrecen hasta 10.000 francos suizos para gastos de transporte y seguro, y gastos de viaje (ida y vuelta). ",,,Fondos,"Diseño, Multidisciplinar","August 10, 2025 1:43 AM",,,No,No,,No,,,,
Convocatoria︱Internacional Art Presentation,IX Congreso Internacional de Teatro CON/TEXTO tipea “Intervenciones” (https://www.notion.so/IX-Congreso-Internacional-de-Teatro-CON-TEXTO-tipea-Intervenciones-23d9dd874b3a81978f53d5370617ebe0?pvs=21),International Art Presentation,Revisar,https://www.mondriaanfonds.nl/en/apply-for-a-grant/grants/international-art-presentation/,Países Bajos,,Yes,International Art Presentation,,,No,Destinado a artistas profesionalmente activos e inmersos en las artes visuales que trabajan en los Países Bajos y quieren presentar su obra en otro país; y organizaciones artísticas reconocidas internacionalmente fuera de los Países Bajos que quieren presentar obras contemporáneas de artistas vivos en los Países Bajos. Se ofrecen gastos de viaje ida y vuelta para los artistas y/o curadores para un viaje de producción y un viaje para la inauguración; hasta 1.000 euros por persona para los artistas participantes y/o curadores; gastos de transporte y seguro durante el transporte de la obra; hasta el 50% de los costos de producción de obras nuevas; hasta el 25% de los costos de publicación; hasta un 50% del costo de traducción del subtitulado de una película. ,,,Fondos,"Visuales, ArtesVisuales, Curaduría","August 10, 2025 1:43 AM",,,No,No,,No,,,,
Fondos︱Cultural Emergency Response Programme,,Cultural Emergency Response Programme,Revisar,https://www.culturalemergency.org/programs/first-aid-to-cultural-heritage,EEUU,,Yes,Cultural Emergency Response,,,No,"La oportunidad “First Aid to Cultural Heritage” del programa Cultural Emergency Response (CER) está dirigida a profesionales y practicantes del patrimonio y la cultura residentes y activos en países elegibles de África, Asia, América Latina, el Caribe y Europa Oriental (incluyendo países latinoamericanos), que enfrenten emergencias derivadas de desastres o conflictos que amenacen el patrimonio cultural. No se requiere pago de inscripción para participar. La convocatoria abarca disciplinas vinculadas al patrimonio cultural tangible e intangible (como sitios, colecciones, edificios, archivos y prácticas culturales) y está orientada a la protección, rescate, estabilización o evacuación de bienes culturales en riesgo. Los solicitantes pueden pedir financiamiento de emergencia de manera flexible y rápida, debiendo indicar el monto requerido según las necesidades de su proyecto; el apoyo financiero se determina caso por caso y no se especifica un monto fijo en la convocatoria.",,https://www.culturalemergency.org/programs/first-aid-to-cultural-heritage,Fondos,"Otras, Multidisciplinar, Patrimonio","August 10, 2025 1:43 AM",,,No,No,,No,,,,
Premio︱Ithra Art Prize,,Launch of Ithra Art Prize’s seventh edition,Revisar,https://www.e-flux.com/announcements/6784028/launch-of-ithra-art-prize-s-seventh-edition,Arabia Saudita,"October 16, 2025",Yes,Ithra,,,No,"El Centro Rey Abdul Aziz para la Cultura Mundial (Ithra) anuncia la convocatoria para la séptima edición del Premio de Arte Ithra, una beca bienal que apoya el arte contemporáneo en el mundo árabe. Fundado en 2017, el Premio ofrece una valiosa plataforma para los artistas de la región. Con un gran premio de 100.000 dólares estadounidenses, la obra ganadora encontrará un lugar permanente en la colección de arte permanente de Ithra. En una importante expansión con respecto a años anteriores, el Premio de Arte Ithra, a través de su jurado designado, reconocerá a cinco finalistas con becas de producción para exhibir su trabajo en una exposición en Ithra en la primavera de 2026. La exposición será un nuevo punto culminante del premio, que regresa a su sede en la Provincia Oriental, contribuye al legado en evolución de los artistas y busca amplificar el discurso sobre el arte contemporáneo en la región. El ganador final se seleccionará durante la exposición. El plazo de presentación de candidaturas ya está oficialmente abierto y se aceptarán hasta el 16 de octubre de 2025. Como parte de su enfoque evolutivo, se aceptan tanto encargos nuevos como obras existentes recontextualizadas. El Premio reconoce a artistas cuyas prácticas son intelectualmente comprometidas, se fundamentan en el contexto y se desarrollan a través de una indagación sostenida a lo largo del tiempo. Las obras presentadas deben reflejar la práctica e investigación continuas de los artistas. El Premio está abierto a artistas individuales y colectivos mayores de 18 años, de ascendencia árabe o residentes en uno de los 22 países árabes.



",,,Premio,"Visuales, ArteContemporáneo, Exposición","August 10, 2025 11:05 AM",,,No,No,,No,,,,
Convocatoria︱Encuentro Nacional Investigadores Ferrocarril,"Convocatoria | Festival Internacional de Cine de Fusagasugá 2025  (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-de-Fusagasug-2025-1bc9dd874b3a81a083ccddea1b521715?pvs=21), FIDBA International Documentary Film Festival (https://www.notion.so/FIDBA-International-Documentary-Film-Festival-23d9dd874b3a817b9f20fd6401d55692?pvs=21), International Student Film and Video Festival (https://www.notion.so/International-Student-Film-and-Video-Festival-23d9dd874b3a812f8411df87c192c23b?pvs=21)",XIII Encuentro Nacional de Investigadores del Ferrocarril,Revisar,https://convocatorias.cultura.gob.mx/vigentes/detalle/3971/xiii-encuentro-nacional-de-investigadores-del-ferrocarril,México,"August 29, 2025",Yes,Centro Nacional para la Preservación del Patrimonio Cultural Ferrocarrilero,,,No,"Dirigida a especialistas, investigadores, estudiantes, profesionales del sector ferroviario, responsables de políticas públicas y miembros de comunidades ferroviarias interesados en la historia, patrimonio, innovación tecnológica, medio ambiente, urbanismo y aspectos sociales relacionados con el ferrocarril; no requiere pago de inscripción para participar; la convocatoria contempla disciplinas vinculadas principalmente a la investigación histórica, tecnológica, patrimonial y social del sector ferroviario, sin enfoque en disciplinas artísticas tradicionales; no se menciona ningún monto de dinero estipulado como premio, beca, honorario ni apoyo económico para participantes seleccionados; la oportunidad está abierta a personas interesadas, sin restricciones explícitas de nacionalidad, pero orientada principalmente al contexto mexicano.",,https://convocatorias.cultura.gob.mx/vigentes/detalle/3971/xiii-encuentro-nacional-de-investigadores-del-ferrocarril,Convocatoria,"Otras, Investigación, Patrimonio","August 10, 2025 11:09 AM",,,No,No,,No,,,,
Concurso︱Muestra Nacional Dramaturgia,"III Bienal Internacional de Arte de Río Negro – BI... (https://www.notion.so/III-Bienal-Internacional-de-Arte-de-R-o-Negro-BI-23d9dd874b3a81a5980ede7d398903de?pvs=21), Organización de muestras, ferias y encuentros – Fondart Nacional 2026 (https://www.notion.so/Organizaci-n-de-muestras-ferias-y-encuentros-Fondart-Nacional-2026-2369dd874b3a8145a715d5d0750ee953?pvs=21)",Convocatoria XXII Muestra Nacional de Dramaturgia,Revisar,https://www.fondosdecultura.cl/convocatoria-xxii-muestra-nacional-de-dramaturgia/,México,"September 8, 2025",Yes,Fondos de Cultura,,,No,"La presente convocatoria tiene por objetivo fomentar la creación de obras dramáticas y potenciar la visibilización de la dramaturgia nacional, a través de la selección de cinco (5) obras dramáticas, tres (3) en la Categoría Autor Emergente y dos (2) en la Categoría Autor de Trayectoria, las cuales serán montadas y estrenadas en la versión XXII de la Muestra Nacional de Dramaturgia 2025.
El presente concurso contempla las siguientes modalidades:
Categoría Autor Emergente
Consideraremos autor emergente a quien no cuente con obras de su autoría estrenadas o que cuente con un máximo de tres (3) estrenos profesionales, presenciales y/o virtuales, a la fecha de postulación.
Premio único de $3.000.000. – para cada texto selecionado.
Categoría Autor de Trayectoria
Consideraremos autor de trayectoria, a quien cuente con un mínimo de cuatro (4) estrenos profesionales, presenciales y/o virtuales, a la fecha de postulación.
Premio único de $5.000.000.- para cada texto seleccionado.
",,,Convocatoria,"Literatura, Dramaturgia","August 10, 2025 11:18 AM",,,No,No,,No,,,,
Convocatoria︱Encuentros Coreográficos Nacionales (México),"Convocatoria | Festival Internacional de Cine de Fusagasugá 2025  (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-de-Fusagasug-2025-1bc9dd874b3a81a083ccddea1b521715?pvs=21), Festival Internacional de Cine de Chiloé FICH 2025 (https://www.notion.so/Festival-Internacional-de-Cine-de-Chilo-FICH-2025-23c9dd874b3a817db3a3e4fe01734206?pvs=21), International Student Film and Video Festival (https://www.notion.so/International-Student-Film-and-Video-Festival-23d9dd874b3a812f8411df87c192c23b?pvs=21), FIDBA International Documentary Film Festival (https://www.notion.so/FIDBA-International-Documentary-Film-Festival-23d9dd874b3a817b9f20fd6401d55692?pvs=21)",Convocatoria XI Encuentros Coreográficos Nacionales,Revisar,https://www.fondosdecultura.cl/convocatoria-xi-encuentros-coreograficos-nacionales/,México,"September 8, 2025",Yes,Fondos de Cultura,,,No,"La presente convocatoria tiene por objetivo promover, visibilizar y reconocer la creación coreográfica nacional, a través de la selección de cinco (5) proyectos de obras coreográficas inéditas presentadas por coreógrafos y/o coreógrafas, los cuales serán premiados con un monto único de $4.000.000.- cada uno. Los proyectos de creación presentados pueden contemplar de 1 a 3 coreógrafos y/o coreógrafas como número máximo de integrantes. El programa tiene los siguientes objetivos específicos: Contribuir a la creación y desarrollo de nuevas obras coreográficas nacionales.
Fomentar la experimentación de nuevos lenguajes y procedimientos coreográficos.
Visibilizar y poner en valor la creación coreográfica.

",,,Convocatoria,"Escénicas, Danza","August 10, 2025 11:18 AM",,,No,No,,No,,,,
Convocatoria︱dFERIA 2025,Goethe-Institut ofrece ayudas a grupos de teatro y danza para actuar en Alemania (https://www.notion.so/Goethe-Institut-ofrece-ayudas-a-grupos-de-teatro-y-danza-para-actuar-en-Alemania-23d9dd874b3a811c92c0ec5082dda04b?pvs=21),"dFERIA, Feria de las Artes Escénicas de Donostia-San Sebastián 2025",Revisar,https://www.recursosculturales.com/dferia/,España,"September 9, 2025",Yes,dFERIA,,,No,"La oportunidad dFERIA, Feria de las Artes Escénicas de Donostia-San Sebastián 2025, está dirigida a compañías, profesionales y creadores de las artes escénicas que deseen presentar sus espectáculos en la programación oficial del evento; pueden participar propuestas de teatro, danza, circo y artes vivas, tanto para público adulto como infantil. No se menciona en la información pública la existencia de un pago de inscripción para postularse, ni se especifican montos de cachet o compensación económica para los artistas seleccionados; la feria actúa principalmente como una plataforma de visibilidad y networking profesional. La convocatoria está abierta a propuestas nacionales e internacionales, por lo que artistas de Latinoamérica pueden postular, siempre que cumplan con los requisitos técnicos y de producción establecidos en las bases. No se detallan premios en efectivo ni apoyos económicos específicos para los participantes.",,https://www.dferia.eus/en/what-is-dferia/previous-editions/286-year-2025,Convocatoria,"Escénicas, Teatro, Danza","August 10, 2025 11:23 AM",,,No,No,,No,,,,
Convocatoria︱Miami Film Festival,"Convocatoria | Festival Internacional de Cine de Fusagasugá 2025  (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-de-Fusagasug-2025-1bc9dd874b3a81a083ccddea1b521715?pvs=21), Festival Internacional de Cine de Chiloé FICH 2025 (https://www.notion.so/Festival-Internacional-de-Cine-de-Chilo-FICH-2025-23c9dd874b3a817db3a3e4fe01734206?pvs=21)",Miami Film Festival MIFF abre su convocatoria a realizadores,Revisar,https://www.recursosculturales.com/miami-film-festival/,EEUU,"January 5, 2026",Yes,Miami International Film Festival,,,No,"Dirigida a cineastas debutantes, emergentes y veteranos con obras recientes del ámbito iberoamericano, el Miami Film Festival MIFF acepta largometrajes, documentales y cortometrajes de todos los géneros; la oportunidad está abierta a creadores de Latinoamérica. La inscripción se realiza a través de FilmFreeway y requiere el pago de una tarifa (el monto exacto no se especifica en la fuente consultada). El festival otorga premios en efectivo a los ganadores en diversas categorías competitivas, aunque no se detallan los montos específicos destinados a los artistas seleccionados o premiados.",,https://miamifilmfestival.com/festival/call-for-entries/,Convocatoria,"Cine, Largometraje, Documental","August 10, 2025 11:24 AM",,,No,No,,No,,,,
Convocatoria︱Curso Composición Sostenible,"Call for Submissions – BigCi Environmental Awards 2025 (https://www.notion.so/Call-for-Submissions-BigCi-Environmental-Awards-2025-22f9dd874b3a8128b954fee11717988c?pvs=21), Rupert/Sonic Acts: ALTERLIFE Residency 2026–27 in Response to the Climate Emergency (Lithuania, Netherlands) (https://www.notion.so/Rupert-Sonic-Acts-ALTERLIFE-Residency-2026-27-in-Response-to-the-Climate-Emergency-Lithuania-Neth-22f9dd874b3a8186ab66e56821f22c5b?pvs=21)",Open Call: Sustainable Composing and Creative Sound Practices - Course for Composers and Sound Artists,Revisar,https://ulysses-platform.eu/opportunity/open-call-sustainable-composing-and-creative-sound-practices-course-composers-and-sound,Noruega,"September 1, 2025",Yes,Ultima,,,No,"¿Eres compositor o artista sonoro y te interesa explorar cómo la ecología y el medio ambiente pueden impulsar tu práctica creativa? Ultima te invita a un curso de tres días en Oslo, del 10 al 12 de septiembre, centrado en prácticas sonoras basadas en perspectivas sostenibles y con conciencia ambiental. Existe una cuota de participación: 1000 NOK por el curso completo.
La cuota incluye la cena del miércoles, el almuerzo de cada día y la entrada a eventos seleccionados del Festival Ultima los días 11 y 12 de septiembre. Los participantes tendrán la oportunidad de escuchar, reflexionar y explorar diferentes enfoques sobre cómo la música y el sonido pueden ayudar a fomentar las conexiones entre las personas y su entorno. A través de charlas, talleres, conversaciones, instalaciones, encuentros sociales y un paseo por el bosque de Østmarka, exploraremos cómo el arte sonoro y la composición pueden contribuir a la conciencia ecológica e inspirar prácticas basadas en el cuidado, la responsabilidad y la colaboración.
",,https://www.ultima.no/en/open-call-sustainable-composing-and-creative-sound-practices,Convocatoria,"Música, ArteSonoro","August 10, 2025 11:26 AM",,,No,No,,No,,,,
Premio︱Lucie Foundation,Premio︱IV Premio Almuzara de Pintura (https://www.notion.so/Premio-IV-Premio-Almuzara-de-Pintura-1a39dd874b3a811db0d4e6a2548cd7fb?pvs=21),Lucie Foundation ofrece subvenciones y premios para fotógrafos,Revisar,https://www.recursosculturales.com/lucie-foundation-subvenciones/,EEUU,"September 1, 2025",Yes,Lucie Foundation,,,No,"La oportunidad de la Lucie Foundation está dirigida a fotógrafos profesionales y emergentes mayores de 18 años de cualquier parte del mundo, incluyendo Latinoamérica, que trabajen en fotografía artística o fotoperiodismo/documental; requiere el pago de una tasa de inscripción de $25 USD por propuesta en la categoría profesional y $15 USD en la categoría emergente; otorga cuatro subvenciones en efectivo: $3,000 USD para los ganadores profesionales y $1,000 USD para los emergentes, además de un vale de $500 USD para servicios de Picto NYC para cada seleccionado y, en el caso del ganador emergente en fotoperiodismo/documental, una cámara Sony A7M4 con lente profesional; los proyectos seleccionados formarán parte de una exposición colectiva en Nueva York y otras sedes internacionales.",,https://www.luciefoundation.org/programs/scholarship/,Premio,"Visuales, Fotografía, Fotoperiodismo","August 10, 2025 11:26 AM",,,No,No,,No,,,,
Convocatoria︱Dúo LUMA,,DUO LUMA_CALL FOR SCORES,Revisar,https://ulysses-platform.eu/opportunity/duo-lumacall-scores,Internacional,"October 31, 2025",Yes,DUO LUMA,Pago,,No,"El Dúo LUMA, compuesto por la guitarrista Silvia Kopáčová y la acordeonista Maria Schlenker, ambas altamente especializadas en interpretación de música contemporánea, se complace en anunciar su primera Convocatoria de Partituras, buscando composiciones innovadoras que exploren las singulares posibilidades sonoras de la combinación de guitarra y acordeón. Con el objetivo de ampliar el repertorio contemporáneo para esta distintiva instrumentación y promover voces compositivas emergentes, invitamos a compositores de todo el mundo a presentar obras originales, así como a iniciar un proceso colaborativo que trascienda los límites tradicionales de la música de cámara. La convocatoria se extiende internacionalmente a todos los compositores, independientemente de su edad, nacionalidad, origen étnico o género. Las obras pueden ser tanto puramente acústicas como incluir medios fijos y electrónica en vivo. También se aceptan propuestas de colaboración. Las obras seleccionadas se interpretarán al menos dos veces durante el ciclo de conciertos 2025/26 de Ensemblekollektiv Connect, del cual el Dúo LUMA es miembro fundador. Los compositores de las obras seleccionadas recibirán una beca de viaje para asistir al ensayo y al menos a uno de los conciertos.

",,,Convocatoria,"Música, Composición, Electroacústica","August 10, 2025 11:27 AM",,,No,No,,No,,,,
Convocatoria︱Duo Voce,Convocatoria Programa de Apoyo a Coros – Fondo de la Música 2025 (https://www.notion.so/Convocatoria-Programa-de-Apoyo-a-Coros-Fondo-de-la-M-sica-2025-23d9dd874b3a81608bbcd7de629cbc53?pvs=21),DUO VOCE_CALL FOR SCORES,Revisar,https://ulysses-platform.eu/opportunity/duo-vocecall-scores,Internacional,"October 31, 2025",Yes,Duo Voce,Pago,,No,"Duo Voce, compuesto por la cantante Christina Bernhardt y el violonchelista Daniel Gutiérrez, ambos altamente especializados en interpretación de música contemporánea, se complace en anunciar su primera Convocatoria de Partituras, buscando composiciones innovadoras que exploren las singulares posibilidades sonoras de la combinación de voz y violonchelo. Con el objetivo de ampliar el repertorio contemporáneo para esta distintiva instrumentación y promover voces compositivas emergentes, invitamos a compositores de todo el mundo a presentar obras originales, así como a iniciar un proceso colaborativo que expanda los límites de la música de cámara. Las obras pueden ser tanto puramente acústicas como incluir medios fijos y electrónica en vivo. También se aceptan propuestas de colaboración.
Se pueden presentar hasta tres obras. Las obras presentadas no deben exceder los 10 minutos de duración. Las obras seleccionadas se interpretarán al menos dos veces durante el ciclo de conciertos 2025/26 de Ensemblekollektiv Connect, del cual Duo Voce es miembro fundador. Los compositores de las obras seleccionadas recibirán una beca de viaje para asistir al ensayo y al menos a uno de los conciertos.

",,,Convocatoria,"Música, Composición","August 10, 2025 11:27 AM",,,No,No,,No,,,,
Residencia︱Music Efforts Green Activism,"Programa de Apoyo a las Orquestas Profesionales Doctas y Populares 2026 (https://www.notion.so/Programa-de-Apoyo-a-las-Orquestas-Profesionales-Doctas-y-Populares-2026-23d9dd874b3a81f3ae9fcbf3fe3c87cf?pvs=21), Goethe Institut: Programa para jóvenes profesionales del teatro en Alemania (https://www.notion.so/Goethe-Institut-Programa-para-j-venes-profesionales-del-teatro-en-Alemania-2369dd874b3a81c9b668d0b6ad0bae86?pvs=21)",Music Efforts for Green Activism: 2025 Artistic-Professional Residency for Sound Artists (Italy),Revisar,https://on-the-move.org/news/music-efforts-green-activism-2025-artistic-professional-residency-sound-artists-italy,Italia,"August 25, 2025",Yes,Sudsonico,,,No,"Dirigida a artistas sonoros y profesionales del sonido de cualquier nacionalidad, incluyendo latinoamericanos, la residencia Music Efforts for Green Activism: 2025 Artistic-Professional Residency for Sound Artists (Italy) busca proyectos que vinculen arte sonoro y activismo medioambiental, con énfasis en la creación colaborativa y el impacto ecológico. No se requiere pago de inscripción para participar. La residencia ofrece un estipendio total de 2.000 EUR para cada artista seleccionado, cubriendo gastos de viaje, alojamiento y producción, además de acceso a instalaciones especializadas y apoyo profesional durante la estancia.",,https://www.sudsonico.it/en/2025/07/11/nuovo-progetto-mega-music-efforts-for-green-activism/,Residencia,"Música, ArteSonoro, Activismo","August 10, 2025 11:56 AM",,,No,No,,No,,,,
Convocatoria︱FAKI Festival,"Curadora, residencia de artistas en Santa Fe, Argentina (https://www.notion.so/Curadora-residencia-de-artistas-en-Santa-Fe-Argentina-2329dd874b3a811ba17cf0cca725c33d?pvs=21), HBK Braunschweig: 2026–2027 Projects Fellowship for Curators (Germany) (https://www.notion.so/HBK-Braunschweig-2026-2027-Projects-Fellowship-for-Curators-Germany-2289dd874b3a816497bef303264da48b?pvs=21)","FAKI Festival: Artists, Activists, Researchers and Theatre Critics for 2026 Edition (Croatia)",Revisar,https://on-the-move.org/news/faki-festival-artists-activists-researchers-and-theatre-critics-2026-edition-croatia,Croacia,"August 20, 2025",Yes,FAKI,,,No,"Convocatoria dirigida a artistas, activistas, investigadores y críticos de teatro de cualquier nacionalidad interesados en la expresión teatral alternativa y la experimentación escénica, sin restricción geográfica, incluyendo Latinoamérica. No se requiere pago de inscripción para participar. Las disciplinas involucradas abarcan artes escénicas, performance, teatro experimental y prácticas performativas afines. La edición 2026 del FAKI Festival, que se celebrará en Zagreb del 25 al 31 de mayo de 2026, no ofrece honorarios a los artistas seleccionados debido a limitaciones presupuestarias, pero cubre alojamiento compartido, comidas veganas y apoyo técnico básico; además, se prevé la cobertura de gastos de viaje hasta 200 EUR por persona y hasta 500 EUR por grupo, priorizando medios de transporte sostenibles.",,https://attack.hr/29th-faki-open-call/,Convocatoria,"Escénicas, Teatro, Performance","August 10, 2025 11:56 AM",,,No,No,,No,,,,
Residencia︱SubScena,Residencia de performance en Buenos Aires (https://www.notion.so/Residencia-de-performance-en-Buenos-Aires-23d9dd874b3a81cd92eae5e957b48df9?pvs=21),SubScena: Residency and Presentation for Performance Artists 2026 (Croatia),Revisar,https://on-the-move.org/news/subscena-residency-and-presentation-performance-artists-2026-croatia,Croacia,"August 20, 2025",Yes,Attack,,,No,"SubScena: Residency and Presentation for Performance Artists 2026 (Croacia) está dirigida a artistas y colectivos de performance que trabajen en prácticas experimentales y vanguardistas dentro del teatro, la danza, el circo y estilos híbridos, sin restricciones de nacionalidad, edad (18-60 años) ni localización, por lo que pueden postular artistas latinoamericanos. No se menciona ningún pago de inscripción para participar. Los artistas seleccionados reciben alojamiento, apoyo técnico (diseño de luces y sonido, asistencia técnica y de producción), promoción, espacios de ensayo y presentación, y reembolso de gastos de viaje hasta 200 EUR por artista o 500 EUR por grupo, pero no se especifica un estipendio adicional; la convocatoria es de carácter no lucrativo y busca fomentar la colaboración independiente y la experimentación escénica.",,https://attack.hr/29th-faki-open-call/,Residencia,"Escénicas, Teatro, Danza","August 10, 2025 11:56 AM",,,No,No,,No,,,,
Residencia︱Finno-Ugric Creative Residency,,Narva Art Residency: Finno-Ugric Creative Residency 2025 (Estonia),Revisar,https://on-the-move.org/news/narva-art-residency-finno-ugric-creative-residency-2025-estonia,Estonia,"August 10, 2025",Yes,Narva Art Residency,,,No,"Dirigida a artistas y creativos internacionales de diversas disciplinas (artes visuales, música, teatro y performance) interesados en desarrollar un proyecto contemporáneo que explore y presente la cultura fino-ugria durante una residencia en Narva, Estonia, del 16 de octubre al 8 de diciembre de 2025; la convocatoria no exige pago de inscripción, ofrece alojamiento y espacio de trabajo sin costo, un estipendio creativo de 800 €, 700 € para producción y 200 € para gastos de viaje; la postulación está abierta a participantes de cualquier nacionalidad, por lo que artistas de Latinoamérica pueden aplicar.",,https://www.nart.ee/en/open-call-finno-ugric-creative-residency-in-narva/,Residencia,"Visuales, ArtesVisuales, Música","August 10, 2025 11:57 AM",,,No,No,,No,,,,
Residencia︱ACEA-Marnay Artist Residency,,ACEA-Marnay Artist Residency,Revisar,https://www.acea-marnay.org,France,"August 15, 2025",Yes,ACEA-Marnay,,,No,"ACEA-Marnay Artist Residency está dirigida a artistas emergentes y consolidados de todas las disciplinas artísticas, sin restricciones de nacionalidad, incluyendo postulantes de Latinoamérica; ofrece residencias de 1 a 2 meses en Marnay Sur Seine, Francia, para desarrollar proyectos en un entorno rural enfocado en el intercambio intercultural y la conexión con la comunidad local. La convocatoria está abierta para residencias entre septiembre y noviembre de 2025, con un máximo de tres artistas por periodo. No se especifica un monto de apoyo económico directo ni estipendio para los seleccionados.",,https://www.acea-marnay.org,Residencia,"Visuales, ArtesPlásticas","August 10, 2025 12:01 PM",,,No,No,,No,,,,
Residencia︱Kavala,,GREECE 2026 OPEN CALL: AEGEAN FUTURES – ECHOES FROM THE PELAGO,Revisar,http://www.nekubi.com,Greece,"August 15, 2025",Yes,NEKUBI,,,No,"Dirigida a artistas internacionales de cualquier etapa de carrera que deseen participar en una residencia de tres semanas en la ciudad de Kavala, Grecia, bajo la convocatoria 2025 WORLDWIDE OPEN CALL ""Cities by the sea / Re-imagine the Mediterranean""; la oportunidad está abierta a todas las disciplinas artísticas, aunque no se especifican restricciones, y se requiere el pago de una cuota de residencia (cuya cifra exacta no se publica en la web, pero es obligatoria y cubre alojamiento, espacio de trabajo, espacio expositivo y evento curado), además de un depósito para confirmar la participación; no se menciona un pago o estipendio para los artistas seleccionados y tampoco premios monetarios; pueden postular artistas de cualquier país, incluyendo Latinoamérica, y la organización ofrece cartas de invitación para facilitar solicitudes de financiamiento externo; no se indica un costo de inscripción adicional fuera del pago de la residencia, aunque es imprescindible consultar el formulario de aplicación para detalles sobre los distintos planes y montos exactos.",,https://nekubi.com/2026-open-call,Residencia,"Visuales, Otras","August 10, 2025 12:02 PM",,,No,No,,No,,,,
